"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.554375001E-2,-2.626138916E0,2.620301056E0,8.638835449E0,9.401705226E0
2.548575000E-2,-2.438878326E0,2.328707428E0,9.352700958E0,9.942033041E0
3.542675001E-2,-2.391427002E0,2.046394501E0,1.017164795E1,1.064749151E1
4.536875000E-2,-2.670895844E0,1.833986206E0,1.014560211E1,1.065037240E1
5.530975001E-2,-2.943179626E0,1.788480835E0,9.435778198E0,1.004464435E1
6.525175000E-2,-2.954406281E0,1.899549866E0,8.978030090E0,9.640634339E0
7.519275000E-2,-2.870730286E0,1.995350647E0,8.918154602E0,9.578935123E0
8.513475000E-2,-2.771187286E0,2.146685944E0,8.918304291E0,9.582478330E0
9.507575000E-2,-2.621498566E0,2.280357971E0,8.959468689E0,9.609597619E0
1.050167500E-1,-2.540217590E0,2.315983887E0,9.041647797E0,9.673049243E0
1.149587500E-1,-2.598296814E0,2.297572174E0,9.028475189E0,9.671781039E0
1.248997500E-1,-2.681673431E0,2.223925323E0,9.067843323E0,9.714061909E0
1.348417500E-1,-2.777324524E0,2.209106140E0,9.255403290E0,9.912425107E0
1.447827500E-1,-2.796185303E0,2.210303650E0,9.448950806E0,1.009884973E1
1.547247500E-1,-2.712359619E0,2.199825439E0,9.482930145E0,1.010554753E1
1.646657500E-1,-2.630330200E0,2.156565399E0,9.535770264E0,1.012424446E1
1.746077500E-1,-2.600691833E0,2.164798279E0,9.560468903E0,1.014162291E1
1.845487500E-1,-2.563718719E0,2.260449371E0,9.524393921E0,1.011910888E1
1.944907500E-1,-2.542163544E0,2.318378906E0,9.416468353E0,1.002533553E1
2.044317500E-1,-2.573298798E0,2.328557739E0,9.310937805E0,9.936680062E0
2.143737500E-1,-2.594704285E0,2.332449646E0,9.274862823E0,9.909384041E0
2.243147500E-1,-2.587369537E0,2.308948517E0,9.254505157E0,9.882893811E0
2.342567500E-1,-2.596350861E0,2.245929565E0,9.159752197E0,9.781937319E0
2.441977500E-1,-2.547552338E0,2.243384857E0,9.214837646E0,9.820184895E0
2.541397500E-1,-2.490371246E0,2.227667542E0,9.352401581E0,9.931357760E0
2.640807500E-1,-2.439028015E0,2.258503418E0,9.367969208E0,9.940248610E0
2.740227500E-1,-2.432741089E0,2.275268555E0,9.273964691E0,9.854009199E0
2.839637500E-1,-2.493963776E0,2.299817505E0,9.182654572E0,9.789288067E0
2.939057500E-1,-2.434237976E0,2.309397583E0,9.230554962E0,9.821505823E0
3.038467500E-1,-2.307900696E0,2.233655090E0,9.342522125E0,9.879187231E0
3.137877500E-1,-2.309397583E0,2.212399292E0,9.336384888E0,9.868946782E0
3.237297500E-1,-2.358495483E0,2.233056335E0,9.205107880E0,9.761303838E0
3.336707500E-1,-2.430196381E0,2.261646881E0,9.081315308E0,9.669084175E0
