"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.556291672E-3,-4.244714677E-1,-2.418769598E-1,1.527189314E-1,5.118628357E-1
1.649729167E-2,-5.654392242E-1,-3.362751007E-1,1.619087011E-1,6.775078502E-1
2.643829166E-2,-5.685617924E-1,-4.176996648E-1,1.234254912E-1,7.162188029E-1
3.637929166E-2,-5.003122091E-1,-5.097482204E-1,8.410754055E-2,7.191867860E-1
4.632029167E-2,-3.647238016E-1,-3.685229421E-1,8.183266968E-2,5.249087503E-1
5.626129167E-2,-2.346868813E-1,-2.048650384E-1,7.933068275E-2,3.214669088E-1
6.620229167E-2,-1.483863443E-1,-6.668266654E-2,5.226790532E-2,1.708713526E-1
7.614329166E-2,-1.042179912E-1,2.019990981E-2,3.171453252E-2,1.107936714E-1
8.608429166E-2,-8.563418686E-2,6.274311244E-2,2.491841093E-2,1.090451252E-1
9.602529167E-2,-7.377984375E-2,5.209017918E-2,1.449618675E-2,9.147126073E-2
1.059652917E-1,-6.211227551E-2,1.940680295E-2,-5.810150877E-3,6.533235510E-2
1.159062917E-1,-5.554404110E-2,-2.857832052E-2,-1.899167709E-2,6.528816664E-2
1.258472917E-1,-7.754334807E-2,-8.993808180E-2,-2.908558957E-2,1.222611995E-1
1.357882917E-1,-1.130319536E-1,-1.439676881E-1,-3.159875423E-2,1.857455222E-1
1.457292917E-1,-1.666674763E-1,-2.041783035E-1,-3.167385608E-2,2.654619755E-1
1.556702917E-1,-2.055449635E-1,-2.694252431E-1,-2.620448358E-2,3.398902302E-1
1.656112917E-1,-1.931655258E-1,-2.935864925E-1,-3.595831245E-2,3.532689474E-1
1.755522917E-1,-1.479295343E-1,-2.879041135E-1,-4.613925144E-2,3.269568110E-1
1.854932917E-1,-1.036960110E-1,-2.463590801E-1,-4.778215662E-2,2.715304652E-1
1.954342917E-1,-6.920515001E-2,-2.013199627E-1,-4.787722975E-2,2.182001588E-1
2.053752917E-1,-4.213172197E-2,-1.449067593E-1,-5.356733873E-2,1.601327907E-1
2.153162917E-1,-3.098388761E-2,-9.962517768E-2,-6.303177774E-2,1.218941439E-1
2.252562917E-1,-4.618468136E-2,-8.888811618E-2,-6.524671614E-2,1.195460412E-1
2.351972917E-1,-5.833112076E-2,-8.231610060E-2,-6.212722138E-2,1.184831283E-1
2.451382917E-1,-6.032263115E-2,-1.188458800E-1,-4.435328022E-2,1.404648586E-1
2.550792917E-1,-6.141800433E-2,-1.963112801E-1,-2.488935366E-2,2.071950045E-1
2.650202917E-1,-5.443279818E-2,-3.140070140E-1,2.558127791E-2,3.197150859E-1
2.749612917E-1,-3.843424469E-2,-4.214013219E-1,3.963910043E-2,4.250029689E-1
2.849022917E-1,-2.026961930E-2,-4.820364416E-1,3.417562693E-2,4.836713367E-1
2.948432917E-1,-1.011506561E-2,-5.423197150E-1,4.710468650E-2,5.444555440E-1
3.047842917E-1,-4.299232364E-2,-5.796614885E-1,4.330169410E-2,5.828643220E-1
3.147252917E-1,-1.305548549E-1,-6.137900949E-1,1.249611378E-2,6.276456034E-1
3.246662917E-1,-2.562462091E-1,-6.273103952E-1,-3.449669480E-2,6.785060601E-1
3.346072917E-1,-4.000708759E-1,-6.310720444E-1,-8.224505186E-2,7.517132961E-1
3.445472917E-1,-5.452219844E-1,-6.031647921E-1,-1.273518056E-1,8.229782871E-1
3.544882917E-1,-6.782122254E-1,-5.914562941E-1,-1.751243323E-1,9.167665473E-1
3.644292917E-1,-7.682721019E-1,-6.384121180E-1,-2.134450823E-1,1.021455265E0
3.743702917E-1,-7.988829017E-1,-6.832377911E-1,-2.319170386E-1,1.076481901E0
3.843112917E-1,-7.865221500E-1,-7.507572174E-1,-2.153577805E-1,1.108436947E0
3.942522917E-1,-7.578030229E-1,-7.842314839E-1,-1.816835552E-1,1.105573768E0
4.041932917E-1,-7.106909156E-1,-8.146333098E-1,-1.332094967E-1,1.089244590E0
4.141342917E-1,-6.444643736E-1,-8.500543833E-1,-8.110575378E-2,1.069815370E0
4.240752917E-1,-5.464571118E-1,-8.469592333E-1,-2.161365934E-2,1.008177796E0
4.340162917E-1,-4.295744598E-1,-8.109564781E-1,2.103148215E-2,9.179471385E-1
4.439572917E-1,-3.242445886E-1,-7.653418183E-1,3.233953193E-2,8.318223954E-1
4.538982917E-1,-2.293512821E-1,-7.562897801E-1,1.082683913E-2,7.903755200E-1
4.638382917E-1,-1.425545961E-1,-8.286465406E-1,-1.621862687E-2,8.409755918E-1
4.737792917E-1,-7.844569534E-2,-9.458571076E-1,-3.237619624E-2,9.496565765E-1
4.837202917E-1,-2.389004268E-2,-1.055748701E0,-5.103217438E-2,1.057251312E0
4.936612917E-1,-3.296550736E-2,-1.125548959E0,-2.609091625E-2,1.126333840E0
5.036022917E-1,-1.037603170E-1,-1.105966687E0,-4.111141339E-2,1.111583854E0
5.135432917E-1,-1.846665442E-1,-1.015597105E0,-2.727942914E-2,1.032609984E0
5.234842917E-1,-2.576078475E-1,-9.498143792E-1,-4.268022254E-2,9.850536835E-1
5.334252917E-1,-2.764507830E-1,-9.207780957E-1,-4.283943027E-2,9.623370271E-1
5.433662917E-1,-2.616822124E-1,-8.917788863E-1,-3.351250663E-2,9.299840055E-1
5.533072917E-1,-2.390189618E-1,-8.471462727E-1,-3.225784004E-2,8.808106718E-1
5.632482917E-1,-2.253644019E-1,-7.629674673E-1,-2.290668525E-2,7.958851588E-1
5.731892917E-1,-2.433827966E-1,-6.429336071E-1,5.045710597E-3,6.874767400E-1
5.831292917E-1,-2.400826067E-1,-5.279220939E-1,2.900510654E-2,5.806743420E-1
5.930702917E-1,-1.922032982E-1,-4.414060712E-1,9.439444542E-2,4.906034436E-1
6.030112917E-1,-1.153588668E-1,-3.838942945E-1,1.610166132E-1,4.319824617E-1
6.129522917E-1,-4.633078352E-2,-3.449531496E-1,1.900917292E-1,3.965779651E-1
6.228932917E-1,5.523894913E-3,-2.838650346E-1,1.600217074E-1,3.259092176E-1
6.328342917E-1,3.860567883E-2,-2.215782106E-1,9.922173619E-2,2.458297272E-1
6.427752917E-1,4.889347032E-2,-2.073236406E-1,7.576061785E-2,2.260825836E-1
6.527162917E-1,3.380447999E-2,-2.824054360E-1,8.337467164E-2,2.963897924E-1
6.626572917E-1,2.114195004E-2,-3.365821242E-1,9.636317194E-2,3.507425969E-1
6.725982917E-1,-8.157895878E-3,-3.566887081E-1,1.133857593E-1,3.743657518E-1
6.825392917E-1,-3.375114128E-2,-4.519555867E-1,9.925129265E-2,4.639545354E-1
6.924792917E-1,-6.174727529E-2,-4.532123506E-1,9.041604400E-2,4.662501708E-1
7.024202917E-1,-8.226906508E-2,-3.047786653E-1,7.067775726E-2,3.235020545E-1
7.123612917E-1,-9.621758014E-2,-2.116661072E-1,7.694306970E-2,2.449093702E-1
7.223022917E-1,-1.279352903E-1,-1.911275536E-1,7.970689237E-2,2.434139867E-1
7.322432917E-1,-1.385756582E-1,-1.889251471E-1,6.703492999E-2,2.436998278E-1
7.421842917E-1,-1.202821285E-1,-1.949329823E-1,4.105339572E-2,2.327059074E-1
7.521252917E-1,-9.016980976E-2,-2.458254099E-1,5.311310664E-2,2.671735931E-1
7.620662917E-1,-8.059654385E-2,-2.994883657E-1,4.418832064E-2,3.132757439E-1
7.720072917E-1,-5.442846939E-2,-4.417502284E-1,-1.343545765E-1,4.649267413E-1
7.819482917E-1,1.870379969E-2,-4.773282111E-1,-2.257356346E-1,5.283451807E-1
7.918892917E-1,1.062747240E-1,-5.455923676E-1,-2.284262180E-1,6.009524821E-1
8.018302917E-1,1.647084802E-1,-6.045281291E-1,-2.285836190E-1,6.669584794E-1
8.117702917E-1,1.970816553E-1,-6.315410137E-1,-2.337078005E-1,7.016441882E-1
8.217111667E-1,2.090810686E-1,-6.571071148E-1,-2.420035452E-1,7.308011833E-1
8.316521667E-1,2.013361454E-1,-6.670266986E-1,-2.379168868E-1,7.362508439E-1
8.415931667E-1,1.879633516E-1,-6.238432527E-1,-2.359341681E-1,6.929470089E-1
8.515341667E-1,1.387867630E-1,-4.690662324E-1,-1.665406376E-1,5.167404377E-1
8.614751667E-1,4.389912635E-2,-2.687139511E-1,-2.367482707E-2,2.733035277E-1
8.714161667E-1,-6.255777925E-2,-7.560517639E-2,8.004527539E-2,1.266367425E-1
8.813571667E-1,-1.530168355E-1,-3.488916904E-2,1.050366461E-1,1.888494191E-1
8.912981667E-1,-1.976368278E-1,-1.135843545E-1,5.227416754E-2,2.338681464E-1
9.012391667E-1,-2.199802101E-1,-3.118045032E-1,-1.035699062E-2,3.817336877E-1
9.111801667E-1,-2.142454237E-1,-5.353043675E-1,5.195090175E-2,5.789220705E-1
9.211201667E-1,-2.085617036E-1,-7.881461978E-1,1.264230013E-1,8.250182959E-1
9.310611667E-1,-1.967988759E-1,-9.512825608E-1,1.658065021E-1,9.854745579E-1
9.410021667E-1,-1.553158760E-1,-1.091473222E0,2.210106403E-1,1.124403183E0
9.509431667E-1,-8.898158371E-2,-1.151931643E0,2.593940496E-1,1.184123941E0
9.608841667E-1,-3.011453897E-2,-1.089278340E0,2.947368622E-1,1.128850746E0
9.708251667E-1,1.695358381E-2,-9.359416962E-1,3.320467174E-1,9.932418161E-1
9.807661667E-1,4.056916386E-2,-7.021204233E-1,3.340632617E-1,7.785995176E-1
9.907071667E-1,-5.716736428E-3,-4.450166225E-1,3.123403192E-1,5.437177120E-1
1.000648167E0,-6.627808511E-2,-2.554730475E-1,2.555148602E-1,3.673514752E-1
1.010589167E0,-1.130012199E-1,-1.293393672E-1,1.816242337E-1,2.499706180E-1
1.020530167E0,-1.451386511E-1,-1.262604892E-1,1.350247711E-1,2.350289940E-1
1.030471167E0,-1.524266899E-1,-3.079468012E-1,1.012949049E-1,3.582258867E-1
1.040411167E0,-1.116257235E-1,-5.448219180E-1,9.165213257E-2,5.636411428E-1
1.050352167E0,-4.563403130E-2,-7.396095395E-1,1.214543432E-1,7.509033847E-1
1.060293167E0,3.945236653E-2,-8.031437993E-1,1.770166755E-1,8.233658695E-1
1.070234167E0,1.267778724E-1,-7.576434016E-1,2.538158000E-1,8.090232464E-1
1.080175167E0,1.802831739E-1,-6.332554221E-1,3.150895238E-1,7.299286680E-1
1.090116167E0,2.021834254E-1,-4.464984238E-1,3.516827524E-1,6.032576053E-1
